Type,id,edges--elec_consumption_edge--unidirectional,edges--elec_consumption_edge--commodity,edges--elec_consumption_edge--has_capacity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--commodity,edges--co2_captured_edge--has_capacity,edges--jetfuel_edge--unidirectional,edges--jetfuel_edge--commodity,edges--jetfuel_edge--has_capacity,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--start_vertex,edges--co2_edge--has_capacity,edges--gasoline_edge--unidirectional,edges--gasoline_edge--commodity,edges--gasoline_edge--has_capacity,edges--elec_production_edge--unidirectional,edges--elec_production_edge--commodity,edges--elec_production_edge--has_capacity,edges--diesel_edge--unidirectional,edges--diesel_edge--commodity,edges--diesel_edge--has_capacity,edges--biomass_edge--integer_decisions,edges--biomass_edge--can_retire,edges--biomass_edge--constraints--MinFlowConstraint,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--unidirectional,edges--biomass_edge--commodity,edges--biomass_edge--can_expand,edges--biomass_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--commodity,edges--co2_emission_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_consumption_edge--start_vertex,edges--jetfuel_edge--end_vertex,edges--gasoline_edge--end_vertex,edges--biomass_edge--variable_om_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--biomass_edge--investment_cost,edges--biomass_edge--min_flow_fraction,edges--biomass_edge--start_vertex,edges--elec_production_edge--end_vertex,edges--diesel_edge--end_vertex,edges--co2_captured_edge--end_vertex,transforms--gasoline_production,transforms--emission_rate,transforms--capture_rate,transforms--electricity_production,transforms--diesel_production,transforms--electricity_consumption,transforms--co2_content,transforms--jetfuel_production
BECCSLiquidFuels,SE_Bio_FT_Herb,true,Electricity,false,true,CO2Captured,false,true,JetFuel,false,true,CO2,co2_sink,false,true,Gasoline,false,true,Electricity,false,true,Diesel,false,false,true,true,true,true,Biomass_Herb,true,true,co2_sink,true,CO2,false,true,Biomass,elec_SE,jetfuel_SE,gasoline_SE,0.0,547339.52,system/availability.csv,SE_Bio_FT_Herb,492864.96,0.85,bioherb_SE,elec_SE,diesel_SE,co2_captured_SE,0.65997315,1.049363163,0.0,0.0,1.347904429,2.8679,1.717,0.68040409
BECCSLiquidFuels,MIDAT_Bio_FT_Herb,true,Electricity,false,true,CO2Captured,false,true,JetFuel,false,true,CO2,co2_sink,false,true,Gasoline,false,true,Electricity,false,true,Diesel,false,false,true,true,true,true,Biomass_Herb,true,true,co2_sink,true,CO2,false,true,Biomass,elec_MIDAT,jetfuel_MIDAT,gasoline_MIDAT,0.0,547339.52,system/availability.csv,MIDAT_Bio_FT_Herb,492864.96,0.85,bioherb_MIDAT,elec_MIDAT,diesel_MIDAT,co2_captured_MIDAT,0.65997315,1.049363163,0.0,0.0,1.347904429,2.8679,1.717,0.68040409
BECCSLiquidFuels,NE_Bio_FT_Herb,true,Electricity,false,true,CO2Captured,false,true,JetFuel,false,true,CO2,co2_sink,false,true,Gasoline,false,true,Electricity,false,true,Diesel,false,false,true,true,true,true,Biomass_Herb,true,true,co2_sink,true,CO2,false,true,Biomass,elec_NE,jetfuel_NE,gasoline_NE,0.0,547339.52,system/availability.csv,NE_Bio_FT_Herb,492864.96,0.85,bioherb_NE,elec_NE,diesel_NE,co2_captured_NE,0.65997315,1.049363163,0.0,0.0,1.347904429,2.8679,1.717,0.68040409
BECCSLiquidFuels,SE_Bio_FT_Wood,true,Electricity,false,true,CO2Captured,false,true,JetFuel,false,true,CO2,co2_sink,false,true,Gasoline,false,true,Electricity,false,true,Diesel,false,false,true,true,true,true,Biomass_Wood,true,true,co2_sink,true,CO2,false,true,Biomass,elec_SE,jetfuel_SE,gasoline_SE,0.0,547339.52,system/availability.csv,SE_Bio_FT_Wood,492864.96,0.85,biowood_SE,elec_SE,diesel_SE,co2_captured_SE,0.65997315,1.049363163,0.0,0.0,1.347904429,2.8679,1.717,0.68040409
BECCSLiquidFuels,MIDAT_Bio_FT_Wood,true,Electricity,false,true,CO2Captured,false,true,JetFuel,false,true,CO2,co2_sink,false,true,Gasoline,false,true,Electricity,false,true,Diesel,false,false,true,true,true,true,Biomass_Wood,true,true,co2_sink,true,CO2,false,true,Biomass,elec_MIDAT,jetfuel_MIDAT,gasoline_MIDAT,0.0,547339.52,system/availability.csv,MIDAT_Bio_FT_Wood,492864.96,0.85,biowood_MIDAT,elec_MIDAT,diesel_MIDAT,co2_captured_MIDAT,0.65997315,1.049363163,0.0,0.0,1.347904429,2.8679,1.717,0.68040409
BECCSLiquidFuels,NE_Bio_FT_Wood,true,Electricity,false,true,CO2Captured,false,true,JetFuel,false,true,CO2,co2_sink,false,true,Gasoline,false,true,Electricity,false,true,Diesel,false,false,true,true,true,true,Biomass_Wood,true,true,co2_sink,true,CO2,false,true,Biomass,elec_NE,jetfuel_NE,gasoline_NE,0.0,547339.52,system/availability.csv,NE_Bio_FT_Wood,492864.96,0.85,biowood_NE,elec_NE,diesel_NE,co2_captured_NE,0.65997315,1.049363163,0.0,0.0,1.347904429,2.8679,1.717,0.68040409
BECCSLiquidFuels,SE_BECCS_FT_Herb,true,Electricity,false,true,CO2Captured,false,true,JetFuel,false,true,CO2,co2_sink,false,true,Gasoline,false,true,Electricity,false,true,Diesel,false,false,true,true,true,true,Biomass_Herb,true,true,co2_sink,true,CO2,false,true,Biomass,elec_SE,jetfuel_SE,gasoline_SE,50.288,351016.96,system/availability.csv,SE_BECCS_FT_Herb,784258.72,0.85,bioherb_SE,elec_SE,diesel_SE,co2_captured_SE,0.414523432,0.187160923,0.973886988,0.246955475,0.0,0.0,1.717,1.850784319
BECCSLiquidFuels,MIDAT_BECCS_FT_Herb,true,Electricity,false,true,CO2Captured,false,true,JetFuel,false,true,CO2,co2_sink,false,true,Gasoline,false,true,Electricity,false,true,Diesel,false,false,true,true,true,true,Biomass_Herb,true,true,co2_sink,true,CO2,false,true,Biomass,elec_MIDAT,jetfuel_MIDAT,gasoline_MIDAT,50.288,351016.96,system/availability.csv,MIDAT_BECCS_FT_Herb,784258.72,0.85,bioherb_MIDAT,elec_MIDAT,diesel_MIDAT,co2_captured_MIDAT,0.414523432,0.187160923,0.973886988,0.246955475,0.0,0.0,1.717,1.850784319
BECCSLiquidFuels,NE_BECCS_FT_Herb,true,Electricity,false,true,CO2Captured,false,true,JetFuel,false,true,CO2,co2_sink,false,true,Gasoline,false,true,Electricity,false,true,Diesel,false,false,true,true,true,true,Biomass_Herb,true,true,co2_sink,true,CO2,false,true,Biomass,elec_NE,jetfuel_NE,gasoline_NE,50.288,351016.96,system/availability.csv,NE_BECCS_FT_Herb,784258.72,0.85,bioherb_NE,elec_NE,diesel_NE,co2_captured_NE,0.414523432,0.187160923,0.973886988,0.246955475,0.0,0.0,1.717,1.850784319
BECCSLiquidFuels,SE_BECCS_FT_Wood,true,Electricity,false,true,CO2Captured,false,true,JetFuel,false,true,CO2,co2_sink,false,true,Gasoline,false,true,Electricity,false,true,Diesel,false,false,true,true,true,true,Biomass_Wood,true,true,co2_sink,true,CO2,false,true,Biomass,elec_SE,jetfuel_SE,gasoline_SE,50.288,351016.96,system/availability.csv,SE_BECCS_FT_Wood,784258.72,0.85,biowood_SE,elec_SE,diesel_SE,co2_captured_SE,0.414523432,0.187160923,0.973886988,0.246955475,0.0,0.0,1.717,1.850784319
BECCSLiquidFuels,MIDAT_BECCS_FT_Wood,true,Electricity,false,true,CO2Captured,false,true,JetFuel,false,true,CO2,co2_sink,false,true,Gasoline,false,true,Electricity,false,true,Diesel,false,false,true,true,true,true,Biomass_Wood,true,true,co2_sink,true,CO2,false,true,Biomass,elec_MIDAT,jetfuel_MIDAT,gasoline_MIDAT,50.288,351016.96,system/availability.csv,MIDAT_BECCS_FT_Wood,784258.72,0.85,biowood_MIDAT,elec_MIDAT,diesel_MIDAT,co2_captured_MIDAT,0.414523432,0.187160923,0.973886988,0.246955475,0.0,0.0,1.717,1.850784319
BECCSLiquidFuels,NE_BECCS_FT_Wood,true,Electricity,false,true,CO2Captured,false,true,JetFuel,false,true,CO2,co2_sink,false,true,Gasoline,false,true,Electricity,false,true,Diesel,false,false,true,true,true,true,Biomass_Wood,true,true,co2_sink,true,CO2,false,true,Biomass,elec_NE,jetfuel_NE,gasoline_NE,50.288,351016.96,system/availability.csv,NE_BECCS_FT_Wood,784258.72,0.85,biowood_NE,elec_NE,diesel_NE,co2_captured_NE,0.414523432,0.187160923,0.973886988,0.246955475,0.0,0.0,1.717,1.850784319
