commodity,commodity_subtype,zone,resource_id,component_id,type,capacity,new_capacity,retired_capacity
Electricity,capacity,elec_MA,MA_battery,MA_battery_discharge_edge,Battery,870.9198332228244,870.9198332228244,0.0
Electricity,capacity,elec_CT,CT_battery,CT_battery_discharge_edge,Battery,638.6439972464012,638.6439972464012,0.0
Electricity,capacity,elec_ME,ME_battery,ME_battery_discharge_edge,Battery,887.8318508463968,887.8318508463968,0.0
Electricity,capacity,elec_MA,MA_natural_gas_combined_cycle,MA_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},9721.14295525449,9721.14295525449,0.0
Electricity,capacity,elec_CT,CT_natural_gas_combined_cycle,CT_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},8816.058663091475,8816.058663091475,0.0
Electricity,capacity,elec_ME,ME_natural_gas_combined_cycle,ME_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},0.12639704199722648,0.12639704199722648,0.0
Electricity,capacity,elec_MA_elec_CT,MA_to_CT,MA_to_CT_transmission_edge,TransmissionLink{Electricity},5900.0,2950.0,0.0
Electricity,capacity,elec_MA_elec_ME,MA_to_ME,MA_to_ME_transmission_edge,TransmissionLink{Electricity},4000.0,2000.0,0.0
Electricity,capacity,elec_MA,MA_solar_pv,MA_solar_pv_edge,VRE,7548.365540034628,7548.365540034628,0.0
Electricity,capacity,elec_CT,CT_onshore_wind,CT_onshore_wind_edge,VRE,8834.506266669006,8834.506266669006,0.0
Electricity,capacity,elec_CT,CT_solar_pv,CT_solar_pv_edge,VRE,1094.1549294342128,1094.1549294342128,0.0
Electricity,capacity,elec_ME,ME_onshore_wind,ME_onshore_wind_edge,VRE,7445.698695745541,7445.698695745541,0.0
