Type,id,edges--co2_captured_edge--integer_decisions,edges--co2_captured_edge--can_retire,edges--co2_captured_edge--constraints--CapacityConstraint,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--commodity,edges--co2_captured_edge--can_expand,edges--co2_captured_edge--uc,edges--co2_captured_edge--has_capacity,edges--co2_storage_edge--unidirectional,edges--co2_storage_edge--commodity,edges--co2_storage_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--co2_captured_edge--variable_om_cost,edges--co2_captured_edge--existing_capacity,edges--co2_captured_edge--start_vertex,edges--co2_storage_edge--end_vertex
CO2Injection,SE_CO2_Injection_1,false,false,true,true,CO2Captured,false,false,true,true,CO2Captured,false,true,CO2Captured,6.1,19634.7,co2_captured_SE,co2_storage_SE_1
CO2Injection,SE_CO2_Injection_2,false,false,true,true,CO2Captured,false,false,true,true,CO2Captured,false,true,CO2Captured,6.4,21367.2,co2_captured_SE,co2_storage_SE_2
CO2Injection,SE_CO2_Injection_3,false,false,true,true,CO2Captured,false,false,true,true,CO2Captured,false,true,CO2Captured,6.6,12704.8,co2_captured_SE,co2_storage_SE_3
CO2Injection,SE_CO2_Injection_4,false,false,true,true,CO2Captured,false,false,true,true,CO2Captured,false,true,CO2Captured,7.4,14437.3,co2_captured_SE,co2_storage_SE_4
CO2Injection,SE_CO2_Injection_5,false,false,true,true,CO2Captured,false,false,true,true,CO2Captured,false,true,CO2Captured,7.6,8662.4,co2_captured_SE,co2_storage_SE_5
CO2Injection,SE_CO2_Injection_6,false,false,true,true,CO2Captured,false,false,true,true,CO2Captured,false,true,CO2Captured,7.8,55439.2,co2_captured_SE,co2_storage_SE_6
CO2Injection,SE_CO2_Injection_7,false,false,true,true,CO2Captured,false,false,true,true,CO2Captured,false,true,CO2Captured,8.0,15014.8,co2_captured_SE,co2_storage_SE_7
CO2Injection,SE_CO2_Injection_8,false,false,true,true,CO2Captured,false,false,true,true,CO2Captured,false,true,CO2Captured,9.1,6929.9,co2_captured_SE,co2_storage_SE_8
CO2Injection,SE_CO2_Injection_9,false,false,true,true,CO2Captured,false,false,true,true,CO2Captured,false,true,CO2Captured,9.4,2887.5,co2_captured_SE,co2_storage_SE_9
CO2Injection,SE_CO2_Injection_10,false,false,true,true,CO2Captured,false,false,true,true,CO2Captured,false,true,CO2Captured,9.8,9239.9,co2_captured_SE,co2_storage_SE_10
CO2Injection,SE_CO2_Injection_11,false,false,true,true,CO2Captured,false,false,true,true,CO2Captured,false,true,CO2Captured,18.9,577.5,co2_captured_SE,co2_storage_SE_11
CO2Injection,MIDAT_CO2_Injection,false,false,true,true,CO2Captured,false,false,true,true,CO2Captured,false,true,CO2Captured,7.9,1155.0,co2_captured_MIDAT,co2_storage_MIDAT
