Type,id,gasoline_commodity,gasoline_production,jetfuel_production,fixed_om_cost,capture_rate,electricity_production,electricity_consumption,co2_sink,diesel_commodity,emission_rate,variable_om_cost,investment_cost,jetfuel_commodity,diesel_production,min_flow_fraction,co2_content,biomass_constraints--MinFlowConstraint,location,biomass_commodity,availability--timeseries--path,availability--timeseries--header
BECCSLiquidFuels,SE_Bio_FT_Herb,Gasoline,0.65997315,0.68040409,547339.52,0.0,0.0,2.8679,co2_sink,Diesel,1.049363163,0.0,492864.96,JetFuel,1.347904429,0.85,1.717,true,SE,Biomass_Herb,system/availability.csv,SE_Bio_FT_Herb
BECCSLiquidFuels,MIDAT_Bio_FT_Herb,Gasoline,0.65997315,0.68040409,547339.52,0.0,0.0,2.8679,co2_sink,Diesel,1.049363163,0.0,492864.96,JetFuel,1.347904429,0.85,1.717,true,MIDAT,Biomass_Herb,system/availability.csv,MIDAT_Bio_FT_Herb
BECCSLiquidFuels,NE_Bio_FT_Herb,Gasoline,0.65997315,0.68040409,547339.52,0.0,0.0,2.8679,co2_sink,Diesel,1.049363163,0.0,492864.96,JetFuel,1.347904429,0.85,1.717,true,NE,Biomass_Herb,system/availability.csv,NE_Bio_FT_Herb
BECCSLiquidFuels,SE_Bio_FT_Wood,Gasoline,0.65997315,0.68040409,547339.52,0.0,0.0,2.8679,co2_sink,Diesel,1.049363163,0.0,492864.96,JetFuel,1.347904429,0.85,1.717,true,SE,Biomass_Wood,system/availability.csv,SE_Bio_FT_Wood
BECCSLiquidFuels,MIDAT_Bio_FT_Wood,Gasoline,0.65997315,0.68040409,547339.52,0.0,0.0,2.8679,co2_sink,Diesel,1.049363163,0.0,492864.96,JetFuel,1.347904429,0.85,1.717,true,MIDAT,Biomass_Wood,system/availability.csv,MIDAT_Bio_FT_Wood
BECCSLiquidFuels,NE_Bio_FT_Wood,Gasoline,0.65997315,0.68040409,547339.52,0.0,0.0,2.8679,co2_sink,Diesel,1.049363163,0.0,492864.96,JetFuel,1.347904429,0.85,1.717,true,NE,Biomass_Wood,system/availability.csv,NE_Bio_FT_Wood
BECCSLiquidFuels,SE_BECCS_FT_Herb,Gasoline,0.414523432,1.850784319,351016.96,0.973886988,0.246955475,0.0,co2_sink,Diesel,0.187160923,50.288,784258.72,JetFuel,0.0,0.85,1.717,true,SE,Biomass_Herb,system/availability.csv,SE_BECCS_FT_Herb
BECCSLiquidFuels,MIDAT_BECCS_FT_Herb,Gasoline,0.414523432,1.850784319,351016.96,0.973886988,0.246955475,0.0,co2_sink,Diesel,0.187160923,50.288,784258.72,JetFuel,0.0,0.85,1.717,true,MIDAT,Biomass_Herb,system/availability.csv,MIDAT_BECCS_FT_Herb
BECCSLiquidFuels,NE_BECCS_FT_Herb,Gasoline,0.414523432,1.850784319,351016.96,0.973886988,0.246955475,0.0,co2_sink,Diesel,0.187160923,50.288,784258.72,JetFuel,0.0,0.85,1.717,true,NE,Biomass_Herb,system/availability.csv,NE_BECCS_FT_Herb
BECCSLiquidFuels,SE_BECCS_FT_Wood,Gasoline,0.414523432,1.850784319,351016.96,0.973886988,0.246955475,0.0,co2_sink,Diesel,0.187160923,50.288,784258.72,JetFuel,0.0,0.85,1.717,true,SE,Biomass_Wood,system/availability.csv,SE_BECCS_FT_Wood
BECCSLiquidFuels,MIDAT_BECCS_FT_Wood,Gasoline,0.414523432,1.850784319,351016.96,0.973886988,0.246955475,0.0,co2_sink,Diesel,0.187160923,50.288,784258.72,JetFuel,0.0,0.85,1.717,true,MIDAT,Biomass_Wood,system/availability.csv,MIDAT_BECCS_FT_Wood
BECCSLiquidFuels,NE_BECCS_FT_Wood,Gasoline,0.414523432,1.850784319,351016.96,0.973886988,0.246955475,0.0,co2_sink,Diesel,0.187160923,50.288,784258.72,JetFuel,0.0,0.85,1.717,true,NE,Biomass_Wood,system/availability.csv,NE_BECCS_FT_Wood
